# Version 1.00
#
freq[Hz],DE_PAE21[U]
4.999999990000000E+008,1.755968252420734E-001
4.999999990090909E+008,1.807236431873780E-001
4.999999990181818E+008,1.770156333916769E-001
4.999999990272727E+008,1.847559435365258E-001
4.999999990363637E+008,1.756494424696567E-001
4.999999990454546E+008,1.730722447912491E-001
4.999999990545455E+008,1.670306442695576E-001
4.999999990636364E+008,1.718802652266024E-001
4.999999990727273E+008,1.738947956481613E-001
4.999999990818182E+008,1.732050189973549E-001
4.999999990909091E+008,1.692360429921846E-001
4.999999991000000E+008,1.655335136053039E-001
4.999999991090909E+008,1.604081341574804E-001
4.999999991181818E+008,1.655534656753632E-001
4.999999991272727E+008,1.647992236921725E-001
4.999999991363636E+008,1.589801515912891E-001
4.999999991454545E+008,1.555159198901633E-001
4.999999991545454E+008,1.531511252088227E-001
4.999999991636364E+008,1.561370808002802E-001
4.999999991727273E+008,1.592910430577850E-001
4.999999991818182E+008,1.585653239772736E-001
4.999999991909091E+008,1.568831152170685E-001
4.999999992000000E+008,1.550846010331320E-001
4.999999992090909E+008,1.532087584001164E-001
4.999999992181818E+008,1.567703794753259E-001
4.999999992272728E+008,1.555885969216239E-001
4.999999992363637E+008,1.586263333117261E-001
4.999999992454546E+008,1.498314465566337E-001
4.999999992545455E+008,1.496818820283987E-001
4.999999992636364E+008,1.519104392077195E-001
4.999999992727273E+008,1.541644511360917E-001
4.999999992818182E+008,1.539406653401287E-001
4.999999992909091E+008,1.510873720543765E-001
4.999999993000000E+008,1.489775835020955E-001
4.999999993090909E+008,1.439774983005139E-001
4.999999993181818E+008,1.491566748038859E-001
4.999999993272727E+008,1.552154269170430E-001
4.999999993363636E+008,1.500170944812713E-001
4.999999993454546E+008,1.465247973964259E-001
4.999999993545455E+008,1.432306491896709E-001
4.999999993636364E+008,1.456502013395209E-001
4.999999993727273E+008,1.478537469512126E-001
4.999999993818182E+008,1.508776477769910E-001
4.999999993909091E+008,1.468581361271383E-001
4.999999994000000E+008,1.393543799854772E-001
4.999999994090909E+008,1.403241060820674E-001
4.999999994181818E+008,1.448208868295780E-001
4.999999994272727E+008,1.445489299721565E-001
4.999999994363636E+008,1.421841991088290E-001
4.999999994454545E+008,1.428920002472560E-001
4.999999994545454E+008,1.377156751251245E-001
4.999999994636363E+008,1.379188318773745E-001
4.999999994727273E+008,1.402934194253929E-001
4.999999994818182E+008,1.412690058345133E-001
4.999999994909091E+008,1.403706304261084E-001
4.999999995000000E+008,1.447397196335992E-001
4.999999995090909E+008,1.311372037482979E-001
4.999999995181818E+008,1.370339764277015E-001
4.999999995272727E+008,1.367607471147300E-001
4.999999995363637E+008,1.358752983324254E-001
4.999999995454546E+008,1.439407045893749E-001
4.999999995545455E+008,1.369279869759467E-001
4.999999995636364E+008,1.297274003075395E-001
4.999999995727273E+008,1.355583928936311E-001
4.999999995818182E+008,1.370339696469196E-001
4.999999995909091E+008,1.371820544590406E-001
4.999999996000000E+008,1.376842973832120E-001
4.999999996090909E+008,1.339311059793958E-001
4.999999996181818E+008,1.349290716772210E-001
4.999999996272727E+008,1.350840615649477E-001
4.999999996363636E+008,1.356006719898875E-001
4.999999996454545E+008,1.422657456789544E-001
4.999999996545454E+008,1.393619962303733E-001
4.999999996636364E+008,1.329045554445148E-001
4.999999996727273E+008,1.396785895881285E-001
4.999999996818182E+008,1.322519553367369E-001
4.999999996909091E+008,1.353675271847030E-001
4.999999997000000E+008,1.445137842948846E-001
4.999999997090909E+008,1.392595040346742E-001
4.999999997181818E+008,1.319038456795840E-001
4.999999997272728E+008,1.418278160219826E-001
4.999999997363637E+008,1.382520222983301E-001
4.999999997454546E+008,1.406561586283294E-001
4.999999997545455E+008,1.403502810848561E-001
4.999999997636364E+008,1.380127616368553E-001
4.999999997727273E+008,1.372095308196197E-001
4.999999997818182E+008,1.368310935412445E-001
4.999999997909091E+008,1.390820344406761E-001
4.999999998000000E+008,1.413448648041251E-001
4.999999998090909E+008,1.404894214485901E-001
4.999999998181818E+008,1.359959581605056E-001
4.999999998272727E+008,1.360568729108560E-001
4.999999998363636E+008,1.375618406544946E-001
4.999999998454546E+008,1.405075041598701E-001
4.999999998545455E+008,1.415547267160905E-001
4.999999998636364E+008,1.380930460151543E-001
4.999999998727273E+008,1.394559424379028E-001
4.999999998818182E+008,1.338282967486067E-001
4.999999998909091E+008,1.393628876806990E-001
4.999999999000000E+008,1.383486724367673E-001
4.999999999090909E+008,1.360036841441238E-001
4.999999999181818E+008,1.369399751017547E-001
4.999999999272727E+008,1.371626677169733E-001
4.999999999363636E+008,1.354659634362430E-001
4.999999999454545E+008,1.358463161918340E-001
4.999999999545454E+008,1.340190788712158E-001
4.999999999636363E+008,1.396042737998461E-001
4.999999999727273E+008,1.409522267515421E-001
4.999999999818182E+008,1.336870702010559E-001
4.999999999909091E+008,1.330690373929622E-001
5.000000000000000E+008,1.360070575143201E-001
