# Version 1.00
#
freq[Hz],Trc2_S21[dB]
5.000000000000000E+008,1.989681734233697E+001
5.500000000000000E+008,1.999206113799004E+001
6.000000000000000E+008,1.997074792490937E+001
6.500000000000000E+008,1.996157138685239E+001
7.000000000000000E+008,1.991799647685440E+001
7.500000000000000E+008,1.999369926329843E+001
8.000000000000000E+008,1.990001003824161E+001
8.500000000000000E+008,1.995315619198573E+001
9.000000000000000E+008,1.989312909541908E+001
9.500000000000000E+008,1.995392313394920E+001
1.000000000000000E+009,1.990458757655789E+001
1.050000000000000E+009,1.990371982295997E+001
1.100000000000000E+009,1.995286186077546E+001
1.150000000000000E+009,1.987960991174161E+001
1.200000000000000E+009,1.991773450759603E+001
1.250000000000000E+009,1.986698221399014E+001
1.300000000000000E+009,1.997793982993228E+001
1.350000000000000E+009,1.981890770551484E+001
1.400000000000000E+009,1.996742999632875E+001
1.450000000000000E+009,1.986111765650294E+001
1.500000000000000E+009,1.991522833046484E+001
1.550000000000000E+009,1.987749189775364E+001
1.600000000000000E+009,1.990262562891630E+001
1.650000000000000E+009,1.992889089342354E+001
1.700000000000000E+009,1.991456850118087E+001
1.750000000000000E+009,1.989893469084250E+001
1.800000000000000E+009,1.991276296309604E+001
1.850000000000000E+009,1.999292834960475E+001
1.900000000000000E+009,1.987766545793052E+001
1.950000000000000E+009,1.992792600443232E+001
2.000000000000000E+009,1.998794874215747E+001
2.050000000000000E+009,1.993171050041811E+001
2.100000000000000E+009,1.989798277680395E+001
2.150000000000000E+009,1.997712017186458E+001
2.200000000000000E+009,2.004098830401094E+001
2.250000000000000E+009,1.983828374334313E+001
2.300000000000000E+009,2.009649407010711E+001
2.350000000000000E+009,2.001233260742403E+001
2.400000000000000E+009,1.989531795888202E+001
2.450000000000000E+009,2.003917666185441E+001
2.500000000000000E+009,2.009382596568317E+001
2.550000000000000E+009,1.987395689404855E+001
2.600000000000000E+009,2.003799430458289E+001
2.650000000000000E+009,2.008871920180918E+001
2.700000000000000E+009,1.980591882128033E+001
2.750000000000000E+009,2.017427607056134E+001
2.800000000000000E+009,1.997405534996021E+001
2.850000000000000E+009,1.990330860780957E+001
2.900000000000000E+009,2.002016571329494E+001
2.950000000000000E+009,1.998626053540414E+001
3.000000000000000E+009,1.993350914546952E+001
3.050000000000000E+009,1.997191731751869E+001
3.100000000000000E+009,1.998381943096728E+001
3.150000000000000E+009,2.001239623237337E+001
3.200000000000000E+009,1.995263333908422E+001
3.250000000000000E+009,2.008899771965878E+001
3.300000000000000E+009,2.000639987644219E+001
3.350000000000000E+009,2.001740319316816E+001
3.400000000000000E+009,2.012294215501356E+001
3.450000000000000E+009,2.018599391330536E+001
3.500000000000000E+009,1.986535673901415E+001
3.550000000000000E+009,2.009575442426815E+001
3.600000000000000E+009,1.999935391062744E+001
3.650000000000000E+009,1.985680409219212E+001
3.700000000000000E+009,2.007788587283636E+001
3.750000000000000E+009,1.992083065139632E+001
3.800000000000000E+009,1.984000868684913E+001
3.850000000000000E+009,2.002404564753395E+001
3.900000000000000E+009,2.007735109897128E+001
3.950000000000000E+009,1.995010851851348E+001
4.000000000000000E+009,1.987733839974237E+001
4.050000000000000E+009,2.019122595684326E+001
4.100000000000000E+009,2.001657448248334E+001
4.150000000000000E+009,1.987479374073953E+001
4.200000000000000E+009,2.035338876679503E+001
4.250000000000000E+009,1.968503289223918E+001
4.300000000000000E+009,2.019569618578433E+001
4.350000000000000E+009,2.004256897794290E+001
4.400000000000000E+009,2.012584370234855E+001
4.450000000000000E+009,1.986895055655105E+001
4.500000000000000E+009,2.013901543910451E+001
4.550000000000000E+009,2.021144299880780E+001
4.600000000000000E+009,1.989505659699106E+001
4.650000000000000E+009,2.015818570177865E+001
4.700000000000000E+009,2.005915040997196E+001
4.750000000000000E+009,2.005784706648823E+001
4.800000000000000E+009,2.018965471586342E+001
4.850000000000000E+009,2.002896157686020E+001
4.900000000000000E+009,2.001055162357063E+001
4.950000000000000E+009,2.013318019499934E+001
5.000000000000000E+009,2.023473455832927E+001
5.050000000000000E+009,2.000943835019945E+001
5.100000000000000E+009,2.006684607212585E+001
5.150000000000000E+009,2.017906062172519E+001
5.200000000000000E+009,2.008544694309477E+001
5.250000000000000E+009,2.010924851034293E+001
5.300000000000000E+009,2.025124500964349E+001
5.350000000000000E+009,1.990259593163465E+001
5.400000000000000E+009,2.021644998645353E+001
5.450000000000000E+009,2.016521854556508E+001
5.500000000000000E+009,2.013926136695385E+001
5.550000000000000E+009,2.003429625489316E+001
5.600000000000000E+009,2.015995928876651E+001
5.650000000000000E+009,2.016914775125655E+001
5.700000000000000E+009,2.011518760090103E+001
5.750000000000000E+009,2.008007161224354E+001
5.800000000000000E+009,2.026570286224188E+001
5.850000000000000E+009,1.989392203081780E+001
5.900000000000000E+009,2.027406480280130E+001
5.950000000000000E+009,2.015180974260698E+001
6.000000000000000E+009,2.012978096120076E+001
