# Version 1.00
#
freq[Hz],Stage1_PAE21[U]
4.999999990000000E+008,1.016148080000000E-001
4.999999990090909E+008,1.015197454000000E-001
4.999999990181818E+008,1.014991336000000E-001
4.999999990272727E+008,1.013789432000000E-001
4.999999990363637E+008,1.013098576000000E-001
4.999999990454546E+008,1.013565292000000E-001
4.999999990545455E+008,1.013770788000000E-001
4.999999990636364E+008,1.013331830000000E-001
4.999999990727273E+008,1.013705120000000E-001
4.999999990818182E+008,1.014413586000000E-001
4.999999990909091E+008,1.016064184000000E-001
4.999999991000000E+008,1.015420972000000E-001
4.999999991090909E+008,1.011961096000000E-001
4.999999991181818E+008,1.012418492000000E-001
4.999999991272727E+008,1.013518890000000E-001
4.999999991363636E+008,1.013593880000000E-001
4.999999991454545E+008,1.013509568000000E-001
4.999999991545454E+008,1.014133928000000E-001
4.999999991636364E+008,1.014450666000000E-001
4.999999991727273E+008,1.015466546000000E-001
4.999999991818182E+008,1.013285014000000E-001
4.999999991909091E+008,1.013378648000000E-001
4.999999992000000E+008,1.012948596000000E-001
4.999999992090909E+008,1.014265056000000E-001
4.999999992181818E+008,1.014003422000000E-001
4.999999992272728E+008,1.015122464000000E-001
4.999999992363637E+008,1.017061626000000E-001
4.999999992454546E+008,1.012661482000000E-001
4.999999992545455E+008,1.013267198000000E-001
4.999999992636364E+008,1.013379268000000E-001
4.999999992727273E+008,1.013610658000000E-001
4.999999992818182E+008,1.013482016000000E-001
4.999999992909091E+008,1.013724386000000E-001
4.999999993000000E+008,1.014227976000000E-001
4.999999993090909E+008,1.014701528000000E-001
4.999999993181818E+008,1.014945348000000E-001
4.999999993272727E+008,1.013611074000000E-001
4.999999993363636E+008,1.013556592000000E-001
4.999999993454546E+008,1.013266162000000E-001
4.999999993545455E+008,1.012921460000000E-001
4.999999993636364E+008,1.013527798000000E-001
4.999999993727273E+008,1.013667212000000E-001
4.999999993818182E+008,1.013760430000000E-001
4.999999993909091E+008,1.014674184000000E-001
4.999999994000000E+008,1.014301100000000E-001
4.999999994090909E+008,1.015169694000000E-001
4.999999994181818E+008,1.014646426000000E-001
4.999999994272727E+008,1.012222938000000E-001
4.999999994363636E+008,1.012706848000000E-001
4.999999994454545E+008,1.013146636000000E-001
4.999999994545454E+008,1.013453222000000E-001
4.999999994636363E+008,1.013425878000000E-001
4.999999994727273E+008,1.013415934000000E-001
4.999999994818182E+008,1.013863178000000E-001
4.999999994909091E+008,1.014199596000000E-001
4.999999995000000E+008,1.015159958000000E-001
4.999999995090909E+008,1.014759324000000E-001
4.999999995181818E+008,1.012306422000000E-001
4.999999995272727E+008,1.012708298000000E-001
4.999999995363637E+008,1.012800274000000E-001
4.999999995454546E+008,1.013089876000000E-001
4.999999995545455E+008,1.013499832000000E-001
4.999999995636364E+008,1.014180744000000E-001
4.999999995727273E+008,1.014050860000000E-001
4.999999995818182E+008,1.011606450000000E-001
4.999999995909091E+008,1.012735022000000E-001
4.999999996000000E+008,1.012828034000000E-001
4.999999996090909E+008,1.012698148000000E-001
4.999999996181818E+008,1.013294958000000E-001
4.999999996272727E+008,1.012968070000000E-001
4.999999996363636E+008,1.015449560000000E-001
4.999999996454545E+008,1.014339632000000E-001
4.999999996545454E+008,1.011541818000000E-001
4.999999996636364E+008,1.012259604000000E-001
4.999999996727273E+008,1.012343294000000E-001
4.999999996818182E+008,1.012110454000000E-001
4.999999996909091E+008,1.012389904000000E-001
4.999999997000000E+008,1.012856620000000E-001
4.999999997090909E+008,1.013854272000000E-001
4.999999997181818E+008,1.014450872000000E-001
4.999999997272728E+008,1.013480980000000E-001
4.999999997363637E+008,1.011075516000000E-001
4.999999997454546E+008,1.010907514000000E-001
4.999999997545455E+008,1.011709820000000E-001
4.999999997636364E+008,1.011812568000000E-001
4.999999997727273E+008,1.011429126000000E-001
4.999999997818182E+008,1.011989270000000E-001
4.999999997909091E+008,1.012847506000000E-001
4.999999998000000E+008,1.013052588000000E-001
4.999999998090909E+008,1.012045408000000E-001
4.999999998181818E+008,1.010535052000000E-001
4.999999998272727E+008,1.011588428000000E-001
4.999999998363636E+008,1.011840534000000E-001
4.999999998454546E+008,1.011831004000000E-001
4.999999998545455E+008,1.011858970000000E-001
4.999999998636364E+008,1.012754080000000E-001
4.999999998727273E+008,1.013080140000000E-001
4.999999998818182E+008,1.012950876000000E-001
4.999999998909091E+008,1.010395432000000E-001
4.999999999000000E+008,1.011122332000000E-001
4.999999999090909E+008,1.011251804000000E-001
4.999999999181818E+008,1.011522968000000E-001
4.999999999272727E+008,1.011607486000000E-001
4.999999999363636E+008,1.011728670000000E-001
4.999999999454545E+008,1.012455364000000E-001
4.999999999545454E+008,1.013042644000000E-001
4.999999999636363E+008,1.010618536000000E-001
4.999999999727273E+008,1.010777630000000E-001
4.999999999818182E+008,1.011541818000000E-001
4.999999999909091E+008,1.011326794000000E-001
5.000000000000000E+008,1.011402404000000E-001
