# Version 1.00
#
freq[Hz],Trc1_a1d1sam[dBm]
5.000000000000000E+008,-4.630833182865537E-001
5.500000000000000E+008,-4.332145394078637E-001
6.000000000000000E+008,-5.019077913258059E-001
6.500000000000000E+008,-3.067130421857982E-001
7.000000000000000E+008,-4.825738718373422E-001
7.500000000000000E+008,-6.225242035460745E-001
8.000000000000000E+008,-6.831720828441092E-001
8.500000000000000E+008,-6.119679705412828E-001
9.000000000000000E+008,-5.013790197581223E-001
9.500000000000000E+008,-5.795207124177573E-001
1.000000000000000E+009,-6.310797866931424E-001
1.050000000000000E+009,-7.261933477798017E-001
1.100000000000000E+009,-9.115193254691896E-001
1.150000000000000E+009,-7.011969179024185E-001
1.200000000000000E+009,-7.592766393879806E-001
1.250000000000000E+009,-8.646557255059832E-001
1.300000000000000E+009,-1.071283946961628E+000
1.350000000000000E+009,-9.788734105083243E-001
1.400000000000000E+009,-1.043576395343354E+000
1.450000000000000E+009,-8.505430699170837E-001
1.500000000000000E+009,-9.242126557737116E-001
1.550000000000000E+009,-9.328072149358597E-001
1.600000000000000E+009,-1.007967040115023E+000
1.650000000000000E+009,-1.087238762970699E+000
1.700000000000000E+009,-9.730800788105150E-001
1.750000000000000E+009,-9.904503003634204E-001
1.800000000000000E+009,-9.205744758246262E-001
1.850000000000000E+009,-1.247894868514049E+000
1.900000000000000E+009,-1.137037569300350E+000
1.950000000000000E+009,-1.123127244851620E+000
2.000000000000000E+009,-1.119210893296721E+000
2.050000000000000E+009,-1.069266330386959E+000
2.100000000000000E+009,-1.116819168826318E+000
2.150000000000000E+009,-1.257090127832797E+000
2.200000000000000E+009,-1.469280792618115E+000
2.250000000000000E+009,-1.113126934020741E+000
2.300000000000000E+009,-1.198249843522106E+000
2.350000000000000E+009,-1.262023290685349E+000
2.400000000000000E+009,-1.247271006783340E+000
2.450000000000000E+009,-1.489842191452340E+000
2.500000000000000E+009,-1.471809866572649E+000
2.550000000000000E+009,-1.186744806638060E+000
2.600000000000000E+009,-1.262867626443839E+000
2.650000000000000E+009,-1.430974312828134E+000
2.700000000000000E+009,-1.375900860379879E+000
2.750000000000000E+009,-1.714252696208749E+000
2.800000000000000E+009,-1.376975019369816E+000
2.850000000000000E+009,-1.314108638400082E+000
2.900000000000000E+009,-1.502653595251864E+000
2.950000000000000E+009,-1.447232008958764E+000
3.000000000000000E+009,-1.554761444285255E+000
3.050000000000000E+009,-1.586764476975624E+000
3.100000000000000E+009,-1.524528127034238E+000
3.150000000000000E+009,-1.523062041100985E+000
3.200000000000000E+009,-1.491046541583962E+000
3.250000000000000E+009,-1.494418634922546E+000
3.300000000000000E+009,-1.840386803766002E+000
3.350000000000000E+009,-1.660078328121468E+000
3.400000000000000E+009,-1.774328911000083E+000
3.450000000000000E+009,-1.865600400317881E+000
3.500000000000000E+009,-1.294564658387881E+000
3.550000000000000E+009,-1.741923700078004E+000
3.600000000000000E+009,-1.880210142435452E+000
3.650000000000000E+009,-1.546697432227038E+000
3.700000000000000E+009,-1.720488518596326E+000
3.750000000000000E+009,-1.558861981053866E+000
3.800000000000000E+009,-1.462179243890581E+000
3.850000000000000E+009,-1.766231378154458E+000
3.900000000000000E+009,-1.787363440712213E+000
3.950000000000000E+009,-1.655097792572175E+000
4.000000000000000E+009,-1.566056675364049E+000
4.050000000000000E+009,-1.671415578099683E+000
4.100000000000000E+009,-1.586009431105527E+000
4.150000000000000E+009,-1.650347810864695E+000
4.200000000000000E+009,-1.913052040760782E+000
4.250000000000000E+009,-1.481948827615884E+000
4.300000000000000E+009,-1.891517922384761E+000
4.350000000000000E+009,-1.454494113002387E+000
4.400000000000000E+009,-1.698728886274129E+000
4.450000000000000E+009,-1.677582958462615E+000
4.500000000000000E+009,-1.632490587128704E+000
4.550000000000000E+009,-1.815560797187018E+000
4.600000000000000E+009,-1.424285756320582E+000
4.650000000000000E+009,-1.696948335847235E+000
4.700000000000000E+009,-1.670863947357073E+000
4.750000000000000E+009,-1.694871564101092E+000
4.800000000000000E+009,-1.838731005381472E+000
4.850000000000000E+009,-1.607268084664064E+000
4.900000000000000E+009,-1.518791203259067E+000
4.950000000000000E+009,-1.667674082958030E+000
5.000000000000000E+009,-1.910256541493826E+000
5.050000000000000E+009,-1.683116716797731E+000
5.100000000000000E+009,-1.692775161771369E+000
5.150000000000000E+009,-1.712973319837293E+000
5.200000000000000E+009,-1.587113956855582E+000
5.250000000000000E+009,-1.718536883754158E+000
5.300000000000000E+009,-1.817917814853935E+000
5.350000000000000E+009,-1.648144863909664E+000
5.400000000000000E+009,-1.785747922883878E+000
5.450000000000000E+009,-1.766305823906119E+000
5.500000000000000E+009,-1.814604459227422E+000
5.550000000000000E+009,-1.679870455100033E+000
5.600000000000000E+009,-1.798485193530365E+000
5.650000000000000E+009,-1.861743271322613E+000
5.700000000000000E+009,-1.795682697828493E+000
5.750000000000000E+009,-1.819444125979317E+000
5.800000000000000E+009,-1.827505389472737E+000
5.850000000000000E+009,-1.414007069440491E+000
5.900000000000000E+009,-2.024049280358433E+000
5.950000000000000E+009,-1.921896766062790E+000
6.000000000000000E+009,-1.805031153317732E+000
